id	HS	TR	AG
18201	1	0	1
18202	1	0	1
18203	1	0	1
18204	1	0	1
18205	1	0	1
18206	1	0	1
18207	1	0	1
18208	1	0	1
18209	1	0	1
18210	1	0	1
18211	1	0	1
18212	1	0	1
18213	1	1	1
18214	1	0	1
18215	1	0	1
18216	1	0	1
18217	1	0	1
18218	1	0	1
18219	1	0	1
18220	1	0	1
18221	1	0	1
18222	1	0	1
18223	1	0	1
18224	1	0	1
18225	1	0	1
18226	1	0	1
18227	1	0	1
18228	1	0	1
18229	1	0	1
18230	1	0	1
18231	1	0	1
18232	1	1	1
18233	1	0	1
18234	1	0	1
18235	1	0	1
18236	1	0	1
18237	1	1	1
18238	1	0	1
18239	1	0	1
18240	1	0	1
18241	1	0	1
18242	1	0	1
18243	1	1	1
18244	1	1	1
18245	1	0	1
18246	1	0	1
18247	1	0	1
18248	1	0	1
18249	1	0	1
18250	1	0	1
18251	1	1	1
18252	1	0	1
18253	1	0	1
18254	1	0	1
18255	1	0	1
18256	1	0	1
18257	1	1	1
18258	1	0	1
18259	1	0	1
18260	1	0	1
18261	1	0	1
18262	1	0	1
18263	1	0	1
18264	1	1	1
18265	1	0	1
18266	1	1	1
18267	1	1	1
18268	1	0	1
18269	1	0	1
18270	1	0	1
18271	1	0	1
18272	1	0	1
18273	1	0	1
18274	1	0	1
18275	1	0	1
18276	1	1	1
18277	1	1	1
18278	1	0	1
18279	1	0	1
18280	1	1	1
18281	1	1	1
18282	1	1	1
18283	1	0	1
18284	1	0	1
18285	1	0	1
18286	1	0	1
18287	1	0	1
18288	1	0	1
18289	1	0	1
18290	1	0	1
18291	1	0	1
18292	1	0	1
18293	1	0	1
18294	1	0	1
18295	1	0	1
18296	1	0	1
18297	1	0	1
18298	1	0	1
18299	1	0	1
18300	1	0	1
18301	1	0	1
18302	1	0	1
18303	1	1	1
18304	1	0	1
18305	1	0	1
18306	1	0	1
18307	1	0	1
18308	1	0	1
18309	1	0	1
18310	1	1	1
18311	1	0	1
18312	1	0	1
18313	1	1	1
18314	1	0	1
18315	1	1	1
18316	1	1	1
18317	1	0	1
18318	1	0	1
18319	1	1	1
18320	1	0	1
18321	1	0	1
18322	1	0	1
18323	1	0	1
18324	1	1	1
18325	1	1	1
18326	1	0	1
18327	1	0	1
18328	1	0	1
18329	1	0	1
18330	1	0	1
18331	1	1	1
