ciegamente,negative,blindly
ciegamente,sadness,blindly
a distancia,negative,aloof
a hurtadillas,surprise,stealthily
a la deriva,anticipation,adrift
a la deriva,fear,adrift
a la deriva,negative,adrift
a la deriva,sadness,adrift
a la fuerza,anger,forcibly
a la fuerza,fear,forcibly
a la fuerza,negative,forcibly
a prueba de balas,positive,bulletproof
a prueba de la intemperie,positive,weatherproof
a regañadientes,negative,grudgingly
ábaco,trust,abacus
abad,trust,abbot
abandonada,anger,abandoned
abandonada,fear,abandoned
abandonada,negative,abandoned
abandonada,sadness,abandoned
abandonada,negative,derelict
abandonada,anger,deserted
abandonada,disgust,deserted
abandonada,fear,deserted
abandonada,negative,deserted
abandonada,sadness,deserted
abandonada,negative,forlorn
abandonada,sadness,forlorn
abandonada,anger,forsaken
abandonada,negative,forsaken
abandonada,sadness,forsaken
abandonado,anger,abandoned
abandonado,fear,abandoned
abandonado,negative,abandoned
abandonado,sadness,abandoned
abandonado,negative,derelict
abandonado,anger,deserted
abandonado,disgust,deserted
abandonado,fear,deserted
abandonado,negative,deserted
abandonado,sadness,deserted
abandonado,negative,forlorn
abandonado,sadness,forlorn
abandonado,anger,forsaken
abandonado,negative,forsaken
abandonado,sadness,forsaken
abandonar,fear,abandon
abandonar,negative,abandon
abandonar,sadness,abandon
abandonar,negative,forsake
abandonar,sadness,forsake
abandono,anger,abandonment
abandono,fear,abandonment
abandono,negative,abandonment
abandono,sadness,abandonment
abandono,surprise,abandonment
abastecer,positive,cater
abba,positive,abba
abedul,anger,birch
abedul,disgust,birch
abedul,fear,birch
abedul,negative,birch
abeja,anger,bee
abeja,fear,bee
aberración,disgust,aberration
aberración,negative,aberration
aberrante,negative,aberrant
abierto,fear,overt
abismal,negative,abysmal
abismal,sadness,abysmal
abismo,fear,abyss
abismo,negative,abyss
abismo,sadness,abyss
abismo,fear,chasm
abogacía,anger,advocacy
abogacía,anticipation,advocacy
abogacía,joy,advocacy
abogacía,positive,advocacy
abogacía,trust,advocacy
abogada,trust,advocate
abogada,anger,attorney
abogada,fear,attorney
abogada,positive,attorney
abogada,trust,attorney
abogada,anger,lawyer
abogada,disgust,lawyer
abogada,fear,lawyer
abogada,negative,lawyer
abogado,trust,advocate
abogado,anger,attorney
abogado,fear,attorney
abogado,positive,attorney
abogado,trust,attorney
abogado,anger,lawyer
abogado,disgust,lawyer
abogado,fear,lawyer
abogado,negative,lawyer
abolición,negative,abolition
abolir,anger,abolish
abolir,negative,abolish
abollada,fear,battered
abollada,negative,battered
abollada,sadness,battered
abollado,fear,battered
abollado,negative,battered
abollado,sadness,battered
abominable,disgust,abominable
abominable,fear,abominable
abominable,negative,abominable
abominación,anger,abomination
abominación,disgust,abomination
abominación,fear,abomination
abominación,negative,abomination
aborrecer,anger,abhor
aborrecer,disgust,abhor
aborrecer,fear,abhor
aborrecer,negative,abhor
aborrecible,anger,abhorrent
aborrecible,disgust,abhorrent
aborrecible,fear,abhorrent
aborrecible,negative,abhorrent
abortar,negative,abort
abortivo,negative,abortive
abortivo,sadness,abortive
aborto,disgust,abortion
aborto,fear,abortion
aborto,negative,abortion
aborto,sadness,abortion
aborto espontáneo,fear,miscarriage
aborto espontáneo,negative,miscarriage
aborto espontáneo,sadness,miscarriage
abrasador,anger,scorching
abrasador,negative,scorching
abrasión,negative,abrasion
abrazo,joy,cuddle
abrazo,positive,cuddle
abrazo,trust,cuddle
abrazo,anticipation,embrace
abrazo,joy,embrace
abrazo,positive,embrace
abrazo,surprise,embrace
abrazo,trust,embrace
abrazo,joy,hug
abrazo,positive,hug
abrazo,trust,hug
abrigo,positive,shelter
abrigo,trust,shelter
abrogar,negative,abrogate
abrumada,negative,overwhelmed
abrumada,sadness,overwhelmed
abrumado,negative,overwhelmed
abrumado,sadness,overwhelmed
abrumador,anger,overpowering
abrumador,fear,overpowering
abrumador,negative,overpowering
abrumador,positive,overwhelming
abrumar,negative,overwhelm
abrupto,surprise,abrupt
absceso,negative,abscess
absceso,sadness,abscess
absentismo,negative,absenteeism
absolución,joy,absolution
absolución,positive,absolution
absolución,trust,absolution
absoluto,positive,absolute
absorbida,positive,absorbed
absorbido,positive,absorbed
absurda,negative,absurd
absurda,negative,absurdity
absurda,disgust,farcical
absurda,negative,farcical
absurda,negative,nonsensical
absurda,sadness,nonsensical
absurdo,negative,absurd
absurdo,negative,absurdity
absurdo,disgust,farcical
absurdo,negative,farcical
absurdo,negative,nonsensical
absurdo,sadness,nonsensical
abucheo,negative,boo
abuela,positive,grandmother
abuelo,trust,grandfather
abundancia,anticipation,abundance
abundancia,disgust,abundance
abundancia,joy,abundance
abundancia,negative,abundance
abundancia,positive,abundance
abundancia,trust,abundance
abundancia de nubes,fear,cloudiness
abundancia de nubes,negative,cloudiness
abundante,joy,abundant
abundante,positive,abundant
abundante,anticipation,bountiful
abundante,joy,bountiful
abundante,positive,bountiful
abundante,positive,plentiful
abundante,negative,rife
aburrida,negative,boring
aburrida,negative,dull
aburrida,sadness,dull
aburrido,negative,boring
aburrido,negative,dull
aburrido,sadness,dull
aburrimiento,negative,boredom
aburrimiento,sadness,boredom
aburrir,negative,bore
abusa,anger,abuse
